Target,Aptnet,Aristia,CEIAF,NavarradeCine,EdSolProducciones,Kaleidoscope,SDI-Media,Ericsson,Sonidos,Tragora,Castro_Aina,Fuente_Virginia,Garcia_Isabel,Jimenez_Jose,Marco_Carmen,MartindelRio_Barbara,Mateo_Antonio,Palacios_Raquel,Roldan_Marina,Rubio_Jennifer
Aptnet,1,0.4743083004,0.5118059987,0.4635310157,0.4533508541,0.479776848,0.5619834711,0.5025445293,0.5092348285,0.5625668449,0.4051789794,0.5126396238,0.5136334813,0.4377199156,0.5575167377,0.5,0.553141515,0.4311994113,0.4550898204,0.3749031758
Aristia,0.4743083004,1,0.5283950617,0.5237668161,0.4615384615,0.5563770795,0.4992548435,0.5163934426,0.5635738832,0.4400527009,0.5015608741,0.4818383988,0.507755102,0.4714686623,0.50348567,0.5212014134,0.5151739452,0.4885799404,0.5021720243,0.4217252396
CEIAF,0.5118059987,0.5283950617,1,0.5223367698,0.4840032814,0.5004420866,0.5305535586,0.5342789598,0.5243198681,0.4926611359,0.4732673267,0.4978540773,0.5054945055,0.4597495528,0.5432835821,0.5266723116,0.52,0.4962121212,0.49,0.4008097166
NavarradeCine,0.4635310157,0.5237668161,0.5223367698,1,0.4897229669,0.5509214355,0.5127807901,0.5132591959,0.5534591195,0.4389911384,0.5428571429,0.4730354391,0.4855195911,0.4931237721,0.4951612903,0.5587419056,0.4907692308,0.5125523013,0.5236363636,0.481981982
EdSolProducciones,0.4533508541,0.4615384615,0.4840032814,0.4897229669,1,0.4840032814,0.5096582467,0.4591503268,0.4931506849,0.4454664915,0.4621761658,0.4597191426,0.4572823434,0.4324324324,0.4864864865,0.5123239437,0.4870848708,0.46884273,0.4779220779,0.4708377519
Kaleidoscope,0.479776848,0.5563770795,0.5004420866,0.5509214355,0.4840032814,1,0.5278219396,0.4982394366,0.5722222222,0.4435146444,0.574686431,0.4932806324,0.5205959684,0.5055837563,0.5086992543,0.5858778626,0.4846093133,0.5287107259,0.5585754452,0.5099415205
SDI-Media,0.5619834711,0.4992548435,0.5305535586,0.5127807901,0.5096582467,0.5278219396,1,0.5214899713,0.576119403,0.5289256198,0.4978012313,0.5573770492,0.5467523198,0.486746988,0.5930470348,0.5504587156,0.5631958088,0.4919695689,0.5486058779,0.4161434978
Ericson,0.5025445293,0.5163934426,0.5342789598,0.5132591959,0.4591503268,0.4982394366,0.5214899713,1,0.5336617406,0.4885496183,0.4591133005,0.4875267284,0.4784988272,0.4701691897,0.5308550186,0.5615514334,0.5494661922,0.4957587182,0.5029045643,0.3846928499
Sonidos,0.5092348285,0.5635738832,0.5243198681,0.5534591195,0.4931506849,0.5722222222,0.576119403,0.5336617406,1,0.4802110818,0.5318039625,0.5508537491,0.5347506132,0.5323336457,0.5539177657,0.582300885,0.5263157895,0.5432835821,0.5483028721,0.454642476
Tragora,0.5625668449,0.4400527009,0.4926611359,0.4389911384,0.4454664915,0.4435146444,0.5289256198,0.4885496183,0.4802110818,1,0.3853769992,0.4891240447,0.4781230184,0.436312456,0.5319537432,0.5319537432,0.5296535526,0.395879323,0.4843646041,0.3408210689
Castro_Aina,0.4051789794,0.5015608741,0.4732673267,0.5428571429,0.4621761658,0.574686431,0.4978012313,0.4591133005,0.5318039625,0.3853769992,1,0.4615384615,0.4980392157,0.5,0.4861878453,0.5523193096,0.4607329843,0.5436408978,0.5391120507,0.5231607629
Fuente_Virginia,0.5126396238,0.4818383988,0.4978540773,0.4730354391,0.4597191426,0.4932806324,0.5573770492,0.4875267284,0.5508537491,0.4891240447,0.4615384615,1,0.5113636364,0.4632587859,0.5196743555,0.5186311787,0.5293350717,0.468907563,0.5022488756,0.3868092692
Garcia_Isabel,0.5136334813,0.507755102,0.5054945055,0.4855195911,0.4572823434,0.5205959684,0.5467523198,0.4784988272,0.5347506132,0.4781230184,0.4980392157,0.5113636364,1,0.4716312057,0.5407407407,0.5256087322,0.5319148936,0.478424015,0.4991735537,0.4569138277
Jimenez_jose,0.4377199156,0.4714686623,0.4597495528,0.4931237721,0.4324324324,0.5055837563,0.486746988,0.4701691897,0.5323336457,0.436312456,0.5,0.4632587859,0.4716312057,1,0.4874371859,0.5410628019,0.4736842105,0.4879120879,0.5161290323,0.4204275534
Marco_Carmen,0.5575167377,0.50348567,0.5432835821,0.4951612903,0.4864864865,0.5086992543,0.5930470348,0.5308550186,0.5539177657,0.5319537432,0.4861878453,0.5196743555,0.5407407407,0.4874371859,1,0.5250596659,0.5569105691,0.519434629,0.5031347962,0.4266917293
MartindelRio_Barbara,0.5,0.5212014134,0.5266723116,0.5587419056,0.5123239437,0.5858778626,0.5504587156,0.5615514334,0.582300885,0.5319537432,0.5523193096,0.5186311787,0.5256087322,0.5410628019,0.5250596659,1,0.5573272589,0.5241521069,0.5747538048,0.4817679558
Mateo_Antonio,0.553141515,0.5151739452,0.52,0.4907692308,0.4870848708,0.4846093133,0.5631958088,0.5494661922,0.5263157895,0.5296535526,0.4607329843,0.5293350717,0.5319148936,0.4736842105,0.5569105691,0.5573272589,1,0.4731543624,0.5164670659,0.4056939502
Palacios_Raquel,0.4311994113,0.4885799404,0.4962121212,0.5125523013,0.46884273,0.5287107259,0.4919695689,0.4957587182,0.5432835821,0.395879323,0.5436408978,0.468907563,0.478424015,0.4879120879,0.519434629,0.5241521069,0.4731543624,1,0.5080645161,0.4641025641
Roldan_Marina,0.4550898204,0.5021720243,0.49,0.5236363636,0.4779220779,0.5585754452,0.5486058779,0.5029045643,0.5483028721,0.4843646041,0.5391120507,0.5022488756,0.4991735537,0.5161290323,0.5031347962,0.5747538048,0.5164670659,0.5080645161,1,0.4956709957
Rubio_Jennifer,0.3749031758,0.4217252396,0.4008097166,0.481981982,0.4708377519,0.5099415205,0.4161434978,0.3846928499,0.454642476,0.3408210689,0.5231607629,0.3868092692,0.4569138277,0.4204275534,0.4266917293,0.4817679558,0.4056939502,0.4641025641,0.4956709957,1
