"Annotation1-1"	"BeginTime"	"Annotation1-2"	"BeginTime"	"Annotation2-1"	"BeginTime"	"Annotation2-2"	"BeginTime"	"Annotation3-2"	"BeginTime"	"TranscriptionName"
NCFS000	286690	AQ0CS0	286759	camiseta	286690	verde	286759	A-ColorAttribute	286759	"What-CineAccesibleNavarra-ES.eaf"
NCMP000	286736	AQ0CS0	286759	tirante	286736	verde	286759	A-ColorAttribute	286759	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	286897	AQ0MS0	286920	parque	286897	público	286920	A-SubjectiveAssessmentAttribute	286920	"What-CineAccesibleNavarra-ES.eaf"
NCMP000	293660	AQ0MS0	294458	contacto	293660	mismo	294458	A-SubjectiveAssessmentAttribute	294458	"What-CineAccesibleNavarra-ES.eaf"
NCFS000	411750	AQ0FS0	412065	melena	411750	pelirrojo	412065	A-ColorAttribute	412065	"What-CineAccesibleNavarra-ES.eaf"
NCFS000	411750	AQ0FS0	412695	melena	411750	largo	412695	A-SubjectiveAssessmentAttribute	412695	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	513636	AQ0MS0	514530	lo_alto	513636	pequeño	514530	A-SubjectiveAssessmentAttribute	514530	"What-CineAccesibleNavarra-ES.eaf"
NP00SP0	739591	AQ0FS0	740521	jess	739591	pensativo	740521	A-StateOfMind	740521	"What-CineAccesibleNavarra-ES.eaf"
NCFS000	750692	AQ0MS0	751799	imagen	750692	negro	751799	FilmLanguage	751799	"What-CineAccesibleNavarra-ES.eaf"
NCMP000	757890	AQ0FS0	758724	año	757890	negro	758724	A-ColorAttribute	758724	"What-CineAccesibleNavarra-ES.eaf"
NCFS000	758446	AQ0FS0	758724	raza	758446	negro	758724	A-ColorAttribute	758724	"What-CineAccesibleNavarra-ES.eaf"
NP00SP0	780804	AQ0FS0	781911	zoé	780804	próximo	781911	A-PositionalAttribute	781911	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	786605	AQ0MS0	786894	fondo	786605	blanco	786894	A-ColorAttribute	786894	"What-CineAccesibleNavarra-ES.eaf"
NCMS000	23835	AQ0FS0	24389	ejecutivo	23835	mediano	24389	A-SubjectiveAssessmentAttribute	24389	"What-EdSol-ES.eaf"
NCFS000	27159	AQ0FS0	27713	choche	27159	alto	27713	A-SubjectiveAssessmentAttribute	27713	"What-EdSol-ES.eaf"
NCMS000	114000	AQ0MS0	114250	gesto	114000	incómodo	114250	A-StateOfMind	114250	"What-EdSol-ES.eaf"
NCMS000	143000	AQ0MS0	143230	sonido	143000	agudo	143230	A-RadiatingSound	143230	"What-EdSol-ES.eaf"
NCMS000	224182	AQ0MS0	224428	sonido	224182	perturbador	224428	A-ObjectiveAssessmentAttribute	224428	"What-EdSol-ES.eaf"
NCMS000	225904	AQ0MS0	226150	monte	225904	cercano	226150	A-PositionalAttribute	226150	"What-EdSol-ES.eaf"
NCMS000	235868	AQ0MS0	236139	personaje	235868	masculino	236139	A-SubjectiveAssessmentAttribute	236139	"What-EdSol-ES.eaf"
NCMS000	235868	AQ0CS0	236681	personaje	235868	mayor	236681	A-SubjectiveAssessmentAttribute	236681	"What-EdSol-ES.eaf"
NCFS000	236952	AQ0CS0	237765	edad	236952	anterior	237765	A-PositionalAttribute	237765	"What-EdSol-ES.eaf"
NCFS000	238578	AQ0MS0	239391	barba	238578	canoso	239391	A-ColorAttribute	239391	"What-EdSol-ES.eaf"
NCMS000	239120	AQ0MS0	239391	pelo	239120	canoso	239391	A-ColorAttribute	239391	"What-EdSol-ES.eaf"
NCFS000	274125	AQ0FS0	274410	pierna	274125	derecho	274410	A-PositionalAttribute	274410	"What-EdSol-ES.eaf"
NCFS000	274980	AQ0FS0	275265	forma	274980	repetitivo	275265	A-SubjectiveAssessmentAttribute	275265	"What-EdSol-ES.eaf"
NCMS000	380999	AQ0MS0	381332	sonido	380999	perturbador	381332	A-ObjectiveAssessmentAttribute	381332	"What-EdSol-ES.eaf"
NCMS000	415050	AQ0CS0	415330	ordenador	415050	portátil	415330	A-PositionalAttribute	415330	"What-EdSol-ES.eaf"
NCMS000	512850	AQ0MS0	513130	sonido	512850	perturbador	513130	A-ObjectiveAssessmentAttribute	513130	"What-EdSol-ES.eaf"
NCMS000	780425	AQ0MS0	780710	sonido	780425	perturbador	780710	A-ObjectiveAssessmentAttribute	780710	"What-EdSol-ES.eaf"
NCMS000	6352	AQ0MS0	6641	paseo	6352	marítimo	6641	A-PositionalAttribute	6641	"What-Ericsson-ES.eaf"
NCFS000	11554	AQ0FS0	12132	playa	11554	desierto	12132	A-SubjectiveAssessmentAttribute	12132	"What-Ericsson-ES.eaf"
NCFP000	13866	AQ0CP0	14155	nube	13866	gris	14155	A-ColorAttribute	14155	"What-Ericsson-ES.eaf"
NCFS000	62635	AQ0FS0	62890	corbata	62635	flojo	62890	A-SubjectiveAssessmentAttribute	62890	"What-Ericsson-ES.eaf"
NCMS000	93800	AQ0MS0	94098	torso	93800	desnudo	94098	A-SubjectiveAssessmentAttribute	94098	"What-Ericsson-ES.eaf"
NP00G00	99860	AQ0MS0	100400	james	99860	rubio	100400	A-ColorAttribute	100400	"What-Ericsson-ES.eaf"
NCFS000	101210	AQ0FS0	101480	piel	101210	claro	101480	A-ColorAttribute	101480	"What-Ericsson-ES.eaf"
NCFS000	171260	AQ0MS0	179580	arena	171260	confuso	179580	A-StateOfMind	179580	"What-Ericsson-ES.eaf"
NCFS000	195811	AQ0MS0	196313	vez	195811	inquieto	196313	A-StateOfMind	196313	"What-Ericsson-ES.eaf"
NCMS000	237389	AQ0CS0	237690	vaso	237389	desechable	237690	A-SubjectiveAssessmentAttribute	237690	"What-Ericsson-ES.eaf"
NCMS000	254095	AQ0MS0	254360	líquido	254095	oscuro	254360	A-ColorAttribute	254360	"What-Ericsson-ES.eaf"
NCMS000	257275	AQ0MS0	258070	pelo	257275	canoso	258070	A-ColorAttribute	258070	"What-Ericsson-ES.eaf"
NCMP000	271368	AQ0MP0	271645	banco	271368	vacío	271645	A-SubjectiveAssessmentAttribute	271645	"What-Ericsson-ES.eaf"
NP00SP0	272199	AQ0MS0	272753	rick	272199	inquieto	272753	A-StateOfMind	272753	"What-Ericsson-ES.eaf"
NCMP000	409315	AQ0CS0	410200	año	409315	abundante	410200	A-SubjectiveAssessmentAttribute	410200	"What-Ericsson-ES.eaf"
NCFS000	410495	AQ0FS0	410790	melena	410495	pelirrojo	410790	A-ColorAttribute	410790	"What-Ericsson-ES.eaf"
NCFS000	520045	AQ0CS0	520575	zona	520045	abundante	520575	A-SubjectiveAssessmentAttribute	520575	"What-Ericsson-ES.eaf"
NP00SP0	737040	AQ0FS0	737570	jessica	737040	pensativo	737570	A-StateOfMind	737570	"What-Ericsson-ES.eaf"
NCFS000	755465	AQ0FS0	755915	mujer	755465	mediano	755915	A-SubjectiveAssessmentAttribute	755915	"What-Ericsson-ES.eaf"
NCMS000	761315	AQ0FS0	771000	punto	761315	confuso	771000	A-StateOfMind	771000	"What-Ericsson-ES.eaf"
NP00SP0	779533	AQ0FS0	780412	zoé	779533	próximo	780412	A-PositionalAttribute	780412	"What-Ericsson-ES.eaf"
NCMS000	3400	AQ0MS0	3750	paseo	3400	marítimo	3750	A-PositionalAttribute	3750	"What-K-Gala-ES.eaf"
NCMS000	16317	AQ0MS0	16634	fondo	16317	blanco	16634	A-ColorAttribute	16634	"What-K-Gala-ES.eaf"
NCMS000	25030	AQ0MS0	25355	coche	25030	deportivo	25355	A-SubjectiveAssessmentAttribute	25355	"What-K-Gala-ES.eaf"
NCMS000	25030	AQ0MS0	25680	coche	25030	blanco	25680	A-ColorAttribute	25680	"What-K-Gala-ES.eaf"
NCMS000	169894	AQ0MS0	170176	bóxer	169894	negro	170176	A-ColorAttribute	170176	"What-K-Gala-ES.eaf"
NCMS000	234872	AQ0MS0	235754	pelo	234872	canoso	235754	A-ColorAttribute	235754	"What-K-Gala-ES.eaf"
NCMP000	271098	AQ0CP0	271374	banco	271098	individual	271374	A-SubjectiveAssessmentAttribute	271374	"What-K-Gala-ES.eaf"
NCFS000	274134	AQ0MS0	274410	pierna	274134	intranquilo	274410	A-StateOfMind	274410	"What-K-Gala-ES.eaf"
NCMS000	279935	AQ0MS0	280190	banco	279935	contiguo	280190	A-PositionalAttribute	280190	"What-K-Gala-ES.eaf"
NCFP000	526760	AQ0FS0	527360	dirección	526760	continuo	527360	Motion	527360	"What-K-Gala-ES.eaf"
NP00O00	739228	AQ0FS0	739900	jessica	739228	cabizbajo	739900	A-StateOfMind	739900	"What-K-Gala-ES.eaf"
NCFS000	756307	AQ0FS0	756568	mujer	756307	negro	756568	A-ColorAttribute	756568	"What-K-Gala-ES.eaf"
NP00SP0	779894	AQ0FS0	780803	zoé	779894	próximo	780803	A-PositionalAttribute	780803	"What-K-Gala-ES.eaf"
NCFS000	781712	AQ0MS0	782621	imagen	781712	negro	782621	A-ColorAttribute	782621	"What-K-Gala-ES.eaf"
NCMS000	783530	AQ0MS0	783833	fondo	783530	blanco	783833	A-ColorAttribute	783833	"What-K-Gala-ES.eaf"
NCMS000	3850	AQ0MS0	4090	día	3850	nuboso	4090	A-RadiatingLight	4090	"What-SDI-Media-ES.eaf"
NCMS000	24258	AQ0MS0	24535	coche	24258	blanco	24535	A-ColorAttribute	24535	"What-SDI-Media-ES.eaf"
NCMS000	25643	AQ0MS0	25920	paseo	25643	marítimo	25920	A-PositionalAttribute	25920	"What-SDI-Media-ES.eaf"
NCFS000	55838	AQ0FS0	56534	barba	55838	claro	56534	A-ColorAttribute	56534	"What-SDI-Media-ES.eaf"
NCFS000	56302	AQ0FS0	56534	piel	56302	claro	56534	A-ColorAttribute	56534	"What-SDI-Media-ES.eaf"
NCMS000	102690	AQ0MS0	102944	torso	102690	desnudo	102944	A-SubjectiveAssessmentAttribute	102944	"What-SDI-Media-ES.eaf"
NCMS000	200168	AQ0FP0	201002	paso	200168	inconexo	201002	A-SubjectiveAssessmentAttribute	201002	"What-SDI-Media-ES.eaf"
NCFP000	200724	AQ0FP0	201002	pisada	200724	inconexo	201002	A-SubjectiveAssessmentAttribute	201002	"What-SDI-Media-ES.eaf"
NCFS000	234520	AQ0FS0	234770	colina	234520	lleno	234770	A-SubjectiveAssessmentAttribute	234770	"What-SDI-Media-ES.eaf"
NCMS000	241320	AQ0MS0	241555	vaso	241320	térmico	241555	A-SubjectiveAssessmentAttribute	241555	"What-SDI-Media-ES.eaf"
NCFP000	245080	AQ0MP0	248100	barba	245080	saltón	248100	A-SubjectiveAssessmentAttribute	248100	"What-SDI-Media-ES.eaf"
NCMP000	245550	AQ0MP0	248100	ojo	245550	saltón	248100	A-SubjectiveAssessmentAttribute	248100	"What-SDI-Media-ES.eaf"
NCMS000	248642	AQ0MP0	248913	pelo	248642	largo	248913	A-SubjectiveAssessmentAttribute	248913	"What-SDI-Media-ES.eaf"
NCMS000	280290	AQ0CS0	280465	banco	280290	individual	280465	A-SubjectiveAssessmentAttribute	280465	"What-SDI-Media-ES.eaf"
NCMS000	282215	AQ0MS0	286016	café	282215	nervioso	286016	A-StateOfMind	286016	"What-SDI-Media-ES.eaf"
NCMS000	399120	AQ0CS0	399365	teléfono	399120	móvil	399365	A-PositionalAttribute	399365	"What-SDI-Media-ES.eaf"
NCMS000	400100	AQ0MS0	400345	bolsillo	400100	trasero	400345	A-PositionalAttribute	400345	"What-SDI-Media-ES.eaf"
NCMS000	511857	AQ0MS0	512538	pelo	511857	rojo	512538	A-ColorAttribute	512538	"What-SDI-Media-ES.eaf"
NCMS000	535750	AQ0MS0	536005	montículo	535750	lleno	536005	A-SubjectiveAssessmentAttribute	536005	"What-SDI-Media-ES.eaf"
NP00SP0	764109	AQ0FS0	764523	jess	764109	pensativo	764523	A-StateOfMind	764523	"What-SDI-Media-ES.eaf"
NCMS000	6838	AQ0CS0	7477	perro	6838	gran	7477	A-SubjectiveAssessmentAttribute	7477	"What-Tragora-ES.eaf"
NCMS000	22729	AQ0MS0	22972	deportivo	22729	blanco	22972	A-ColorAttribute	22972	"What-Tragora-ES.eaf"
NCMS000	22729	AQ0FS0	23458	deportivo	22729	alto	23458	A-SubjectiveAssessmentAttribute	23458	"What-Tragora-ES.eaf"
NCMS000	55460	AQ0MS0	55952	hombre	55460	alto	55952	A-SubjectiveAssessmentAttribute	55952	"What-Tragora-ES.eaf"
NCMS000	60134	AQ0MS0	60380	bolsillo	60134	izquierdo	60380	A-PositionalAttribute	60380	"What-Tragora-ES.eaf"
NCMS000	170452	AQ0MS0	171178	tipo	170452	negro	171178	A-ColorAttribute	171178	"What-Tragora-ES.eaf"
NCMS000	170815	AQ0MS0	171178	bóxer	170815	negro	171178	A-ColorAttribute	171178	"What-Tragora-ES.eaf"
NCMP000	182406	AQ0MP0	182807	punto	182406	distinto	182807	A-SubjectiveAssessmentAttribute	182807	"What-Tragora-ES.eaf"
NCMS000	205730	AQ0CS0	205920	punto	205730	superior	205920	A-PositionalAttribute	205920	"What-Tragora-ES.eaf"
NCMS000	233000	AQ0MS0	233478	camino	233000	decisivo	233478	A-IntentionalPsychologicalProcess	233478	"What-Tragora-ES.eaf"
NCMS000	250290	AQ0MS0	250550	pelo	250290	largo	250550	A-SubjectiveAssessmentAttribute	250550	"What-Tragora-ES.eaf"
NCMS000	251590	AQ0MS0	252370	aspecto	251590	pensativo	252370	A-StateOfMind	252370	"What-Tragora-ES.eaf"
NCFS000	253670	AQ0MS0	254450	cabeza	253670	indeciso	254450	A-StateOfMind	254450	"What-Tragora-ES.eaf"
NCMS000	274490	AQ0MS0	274782	pantalón	274490	vaquero	274782	A-SubjectiveAssessmentAttribute	274782	"What-Tragora-ES.eaf"
NCFP000	275658	AQ0FP0	275950	zapatilla	275658	deportivo	275950	A-SubjectiveAssessmentAttribute	275950	"What-Tragora-ES.eaf"
NCFS000	280914	AQ0FS0	281206	pierna	280914	derecha	281206	A-PositionalAttribute	281206	"What-Tragora-ES.eaf"
NCMS000	285294	AQ0MS0	285878	lado	285294	nervioso	285878	A-StateOfMind	285878	"What-Tragora-ES.eaf"
NCMS000	290842	AQ0CS0	291134	teléfono	290842	móvil	291134	A-PositionalAttribute	291134	"What-Tragora-ES.eaf"
NCMS000	292594	AQ0MS0	292886	bolsillo	292594	trasero	292886	A-PositionalAttribute	292886	"What-Tragora-ES.eaf"
NCMS000	380388	AQ0MS0	380656	semblante	380388	serio	380656	A-StateOfMind	380656	"What-Tragora-ES.eaf"
NCFS000	418998	AQ0FS0	419331	chico	418998	pelirrojo	419331	A-ColorAttribute	419331	"What-Tragora-ES.eaf"
NP00SP0	738880	AQ0MS0	739420	rick	738880	dubitativo	739420	A-StateOfMind	739420	"What-Tragora-ES.eaf"
NP00SP0	761048	AQ0MS0	772000	rick	761048	mismo	772000	A-SubjectiveAssessmentAttribute	772000	"What-Tragora-ES.eaf"
